ds,yhat,yhat_lower,yhat_upper
2016-04-05,1252.9684434053906,1168.4634606633444,1334.0856167800782
2016-04-06,1254.134668334953,1178.5452891107782,1337.1801268732715
2016-04-07,1255.5120059555054,1183.0932642249209,1337.1924373469938
2016-04-08,1257.6970074351716,1173.7363286348018,1338.519253586721
2016-04-11,1264.4126137286012,1185.2641673884514,1346.1616854867505
2016-04-12,1265.1674709223212,1184.6781142301008,1351.293479042317
2016-04-13,1265.874096410732,1186.9409983342457,1352.9394125738895
2016-04-14,1267.1414533044476,1187.1121089421686,1343.8515578754125
2016-04-15,1268.8744081754114,1187.1544249097744,1351.4679807648133
2016-04-18,1270.809203859352,1188.1549783997677,1349.9189225521577
2016-04-19,1270.4371398655485,1189.8053673921834,1348.6628300565346
2016-04-20,1270.5341067025145,1189.1658444394589,1351.44876199529
2016-04-21,1271.1173937942738,1188.6521877944783,1355.822371820778
2016-04-22,1271.5640928761418,1184.715304294859,1349.2807206198074
2016-04-25,1268.2909288167161,1190.6807821873235,1346.8738566955165
2016-04-26,1267.038953403933,1182.810452121703,1349.2631304216761
2016-04-27,1266.481471406168,1183.4308019309824,1345.2221173163025
2016-04-28,1266.4060877108154,1184.0947521722796,1343.4373920800324
2016-04-29,1266.4687584695769,1183.3686925582494,1344.5916167428768
2016-05-02,1268.4151171564547,1182.3369156266212,1343.1951196536813
2016-05-03,1269.8431999969591,1188.9754554256497,1346.3209143440306
2016-05-04,1270.746397401703,1189.05546782607,1348.3191643236798
2016-05-05,1270.5499340565339,1190.1743122867051,1353.5617380290962
2016-05-06,1269.435660123736,1186.3223357609072,1346.1567556194123
2016-05-09,1268.7845015473465,1187.7187121955574,1357.429761923052
2016-05-10,1270.0084773356482,1188.9008342304746,1353.6885457154783
2016-05-11,1270.8468458246612,1195.9260287651505,1348.9645149790983
2016-05-12,1271.0219017013414,1188.7473446368776,1348.5670134248605
2016-05-13,1271.0286720348931,1194.661793557795,1352.0843972903178
2016-05-16,1274.957785164794,1194.0598962531426,1355.3642876067333
2016-05-17,1276.4339421451232,1190.4953608700657,1352.101450178539
2016-05-18,1277.1591131583214,1195.3696204672863,1356.619055871649
2016-05-19,1277.5058580974296,1199.679658363602,1354.661596323975
2016-05-20,1278.193145726622,1199.0566456547097,1361.2780863617588
2016-05-23,1282.510964483543,1202.2143199684235,1361.173263223158
2016-05-24,1282.8337847704356,1206.2979898409467,1367.2580462815881
2016-05-25,1282.4735329474786,1205.1109239799164,1362.6516818374082
2016-05-26,1282.1345963859762,1201.5062950673214,1358.4862593862058
2016-05-27,1282.3704556110192,1203.0778813326679,1363.9619000457394
2016-05-31,1286.4353162924335,1207.267943527946,1363.9833967066188
2016-06-01,1288.0584968653814,1207.3489956891522,1366.7154798829893
2016-06-02,1290.0654582990562,1211.694865194477,1363.3398385906912
2016-06-03,1291.8389839495158,1215.2087927545713,1371.0113723222428
2016-06-06,1291.0611157436929,1209.7670426588463,1368.8775125716932
2016-06-07,1290.3223073060547,1209.2646419953821,1372.811091074009
2016-06-08,1290.5609368494247,1215.768728450923,1374.271711887437
2016-06-09,1291.5349781742564,1212.4502364884536,1371.3011617431935
2016-06-10,1292.4241257036372,1211.6180420983333,1375.4224683847938
2016-06-13,1292.0113234385647,1206.6563497297643,1366.5984868133858
2016-06-14,1292.5657456432953,1212.09979362372,1371.0632820567537
2016-06-15,1293.7869223952682,1217.3751749625399,1371.080345857167
2016-06-16,1294.9630814069878,1215.8075418986434,1378.5386582689641
2016-06-17,1295.4475626875044,1220.344821287644,1375.4830829073392
2016-06-20,1295.3793880559208,1216.3213646955323,1376.1983215617197
2016-06-21,1296.3090433727143,1215.1899818139777,1378.5467296356176
2016-06-22,1297.1700187506758,1218.9273605556457,1385.8181500649657
2016-06-23,1297.264511760191,1217.2315757807644,1382.263208112302
2016-06-24,1296.4701984096419,1216.5535131276417,1381.8079451020099
2016-06-27,1294.445919833931,1218.1352133044425,1375.1057442452932
2016-06-28,1294.781803499132,1220.9749731569646,1373.787936199182
2016-06-29,1295.2095947216455,1213.5625397829376,1379.534867473407
2016-06-30,1295.6991349311725,1215.8106615963666,1380.7765960477007
2016-07-01,1296.550619700465,1212.3949649012395,1380.552287817947
2016-07-05,1300.5121254956796,1220.877474932192,1379.0365011217232
2016-07-06,1298.725982209174,1218.3410434126345,1370.7768039077002
2016-07-07,1296.9133576773856,1213.6421781367258,1375.679386942015
2016-07-08,1295.9921096474413,1213.9140055111714,1375.695008343081
2016-07-11,1297.2369810786256,1214.6281458355668,1373.1362210972477
2016-07-12,1297.0385548989964,1221.8746794580645,1371.553631976273
2016-07-13,1296.7737730995716,1214.8352762917414,1381.9000820774197
2016-07-14,1297.2116372797952,1217.3775362201027,1380.8978629864703
2016-07-15,1298.6383569062768,1214.9686109415984,1378.5242693811647
2016-07-18,1303.3082430012994,1221.4387473389218,1384.845061543965
2016-07-19,1304.0863909024276,1225.4753653974324,1383.3050165579002
2016-07-20,1305.30419994784,1221.5851090439555,1380.2342650106386
2016-07-21,1307.2978514013446,1227.3032022125965,1391.3628067655243
2016-07-22,1309.675013924438,1230.6052333226526,1399.729081607111
2016-07-25,1313.1109446591413,1233.2195318369006,1394.2434039889345
2016-07-26,1313.497554931499,1228.228596339131,1395.3476103536002
2016-07-27,1314.4086008047416,1235.8850827464164,1393.4826055475862
2016-07-28,1315.8289131199067,1237.1591460496181,1400.424959575909
2016-07-29,1317.3730445403962,1237.801049775459,1399.5378516703918
2016-08-01,1321.9218430227058,1241.9039940151417,1403.7092739612049
2016-08-02,1323.857593683663,1243.5819797505624,1398.4221360361053
2016-08-03,1325.3882134644225,1243.8747445131555,1407.821874550509
2016-08-04,1325.7473116586134,1248.047330513532,1406.2317381845526
2016-08-05,1324.7006837397932,1240.0836325304385,1410.549147677459
2016-08-08,1320.3741394091685,1237.7315234616287,1405.7630355168242
2016-08-09,1320.169392032392,1238.2822562892266,1400.6975001034841
2016-08-10,1319.7787009936683,1235.4650625500046,1402.332179028993
2016-08-11,1318.6067544472928,1237.2011769490573,1401.3598491138116
2016-08-12,1316.8195410571623,1236.0239892596876,1401.1947742829432
2016-08-15,1314.1435941536274,1236.204506785424,1391.837301973328
2016-08-16,1313.993781742668,1234.2397174276675,1393.7470881080383
2016-08-17,1313.2374730184952,1233.373153645392,1395.4088755009197
2016-08-18,1311.9124604304177,1237.6292663364413,1396.0948623453253
2016-08-19,1310.6722160497861,1225.0964164325335,1391.1653240314874
2016-08-22,1310.6353097555827,1230.6336218209724,1389.3376702132623
2016-08-23,1310.295803600718,1232.750052684771,1389.8436404006452
2016-08-24,1309.204279322177,1232.027277161264,1388.9927627249256
2016-08-25,1307.8888066651834,1220.1801252941345,1383.7508028024954
2016-08-26,1307.0409089955638,1231.6130389157227,1387.5056866981324
2016-08-29,1307.820297695423,1230.0251389785176,1386.0216369308148
2016-08-30,1308.35232023411,1228.9183136581728,1384.1644961003622
2016-08-31,1309.1830258022949,1227.5272395053205,1390.4612803532439
2016-09-01,1310.4558867944584,1226.3253113365893,1389.0108121059552
2016-09-02,1311.78533749891,1234.6405303816862,1391.5334620220744
2016-09-06,1307.3878647808629,1228.2510200763265,1391.3140499378596
